Org Unit,Org Unit Code,OU Short Name,Org Unit Id,Parent Id
Kaswiti Village Clinic,,Kaswiti VC,E0ht2ErSF1N,cIJ6LCvgpw0
Katambadzuwa Outreach Clinic,,Katambadzuwa Outreach Clinic,uYzD2t2b5jB,dy2GeuSwyIq
Katambadzuwa Village Clinic,,Katambadzuwa Village Clinic,vynB8DwkUia,dy2GeuSwyIq
Katambatamba Outreach Clinic,,Katambatamba Outreach Clinic,ggv0y2yGl0t,Um1JMpMYGpE
Katambatamba Village Clinic,,Katambatamba Village Clinic,azRsp1LpTYF,Um1JMpMYGpE
Katambawanthu Village Clinic,,Katambawanthu Village Clinic,XV2pOdftXbI,UNLZJ1Nr3sq
Katanda Outreach (Likangala),,Katanda Outreach (Likangala),zA27JXO4Z9M,LBeMMNRQSoU
Katanda Outreach (Namasalima),,Katanda Outreach (Namasalima),PVUorCNC4qx,mR7n2aiuf2m
Katanda Village Clinic (Likangala),,Katanda Village Clinic (Likangala),ZLEeu999FRt,LBeMMNRQSoU
Katanda Village Clinic (Namasalima),,Katanda Village Clinic (Namasalima),ZTT1kUR7SaP,mR7n2aiuf2m
Katawa Health Centre,1423,Katawa-HC,vvgvKSNrelJ,hQXbPPfQtLy
Katawa Outreach Clinic,,Katawa Outreach Clinic,LX63dbJR18O,CZXbHCpGcTW
Katawa Outreach Clinic (Kaphuka),,Katawa Outreach Clinic (Kaphuka),m5XjbD3ucGg,wGMlG6WZZ4q
Katawa Village Clinic,,Katawa Village Clinic,rNdMZThAAAt,CZXbHCpGcTW
Katayanthona Outreach Clinic,,Katayanthona Outreach Clinic,kb0RhKLdSjD,n89uKexauZq
Katayanthona Village Clinic,,Katayanthona Village Clinic,OHYXavaIG8C,glIscvEdIJz
Katayanthona Village Clinic (Dwangwa),,Katayanthona Village Clinic (Dwangwa),M5yTX3Gs2zd,n89uKexauZq
Katchale Health Centre,1516,Katchale-HC,SUO29yrjbH4,MDkBXGJ5CyR
Katcheleza Outreach Clinic,,Katcheleza Outreach Clinic,q5f8FlA1U41,wNoaGHOI6Zl
Katchenembwe  Village Clinic,,Katchenembwe  Village Clinic,pOoX54WEwY0,yM9bkHicOua
Katchenembwe Outreach Clinic,,Katchenembwe Outreach Clinic,iZtSwIv67kn,yM9bkHicOua
Kategha Outreach Clinic,,Kategha Outreach Clinic,x3tTBQxqYT6,ncumVqRrCMN
Kategha Village Clinic,,Kategha Village Clinic,uLwCVcd1iLp,ncumVqRrCMN
Katema Health Centre,2506,Katema-HC,gNaXoVYpN1v,RBK39eC5LuY
Katengeza Outreach,,Katengeza Outreach,tglcudzyHQd,V75SGRWLZNR
Katengeza Outreach (Madisi),,Katengeza Outreach (Madisi),ybNEQRf1yi7,g9wv1lKcdzp
Katengeza Village Clinic,,Katengeza Village Clinic,XJiGRrDpWlO,V75SGRWLZNR
Katengeza Village Clinic (Madisi),,Katengeza Village Clinic (Madisi),N8p8w3T1U7e,g9wv1lKcdzp
Katengeza Village Clinic (Nkhotakota DH),,Katengeza Village Clinic (Nkhotakota DH),CvWHG72PlU4,eLLoifuK7RA
Katenje Outreach Clinic,,Katenje Outreach Clinic,oTMuBWwnSiO,PYQecgNXvAc
Katenje Outreach Clinic (Chilobwe),,Katenje Outreach Clinic (Chilobwe),C8By2o3OS5z,Xx5fmiIR0fW
Katenje Outreach Clinic (Mkhota R),,Katenje Outreach Clinic (Mkhota R),hzQI7yRGT7G,F17kSj3t4iD
Katenje Village Clinic,,Katenje Village Clinic,loCPw2oGZs4,PYQecgNXvAc
Katenje Village Clinic (Chilobwe),,Katenje Village Clinic (Chilobwe),WZAJiME81ze,Xx5fmiIR0fW
Katete Outreach,,Katete Outreach,kUo7p9NAIns,cmCppSqIlzN
Katete Outreach (H. Parker Sharp),,Katete Outreach (H. Parker Sharp),kCCsNfdSvqm,KhuXq8PnptT
Katete Outreach (Thondwe),,Katete Outreach (Thondwe),FjjJ4kqSfOd,WSD1egGlSlf
Katete Outreach Clinic,,Katete Outreach Clinic,vIABSyNwlz1,cez54P9k6OJ
Katete Outreach Clinic (Kangolwa),,Katete Outreach Clinic (Kangolwa),y1jws9akNPW,OZNe80Ws0on
Katete Rural Hospital,515,Katete-RH,YABJoiuXQMB,PoWQdy5S9Xi
Katete Village Clinic,,Katete Village Clinic,AUwmVgVdnu4,cez54P9k6OJ
Katete Village Clinic (Kangolwa),,Katete Village Clinic (Kangolwa),QshAGPXxSCL,OZNe80Ws0on
Katewe Village Clinic (Kanyezi),,Katewe Village Clinic (Kanyezi),nUdGjgfOhIN,U6sLs3tOzpC
Kathandi Village Clinic,,Kathandi Village Clinic,oPhJO2FtwmM,cZkBc7Ri1HF
Kathebwe Village Clinic (Matiya),,Kathebwe Village Clinic (Matiya),B9CG7O5YctN,omQ3TWOHcDR
Kathibi Outreach Clinic,,Kathibi Outreach Clinic,QjZzMUxaFL2,eEEYKm78UBf
Kathibi Village Clinic,,Kathibi Village Clinic,IRJ8vace08V,eEEYKm78UBf
Kathundu Outreach Clinic,,Kathundu Outreach Clinic,KYHF08CloEQ,RdbkvuyiIKf
Kathundu Village Clinic,,Kathundu Village Clinic,pAuVm7wl9Cd,RdbkvuyiIKf
Kathyuka Outreach,,Kathyuka Outreach,viJ2wxSfKnR,sxgy4P0oUli
Kathyuka Village Clinic,,Kathyuka Village Clinic,qG1quDZNbg0,sxgy4P0oUli
Katili Dispensary,231,Katili Dispensary,nrK4dEVDNdL,WVBSPqTMrPP
Katimba Outreach Clinic,,Katimba Outreach Clinic,FvpEAhlL6mM,YEVlg1UBA5H
Katimba Outreach Clinic (Kamsonga),,Katimba Outreach Clinic (Kamsonga),Rtj2MBLLlCO,m9IaQF4jaPL
Katimba Village Clinic,,Katimba Village Clinic,JofceOaEzlj,YEVlg1UBA5H
Katimba Village Clinic (Kamsonga),,Katimba Village Clinic (Kamsonga),t2VS0ZhWUSF,m9IaQF4jaPL
Katimbila Health Centre,1114,Katimbila-HC,Fz0tDlXVsn3,HxjTgTNq2YD
Katitima  Village Clinic,,Katitima  Village Clinic,EIwhUpdOTKd,d92FGpiO9lP
Katitima Outreach Clinic,,Katitima Outreach Clinic,VhPqVPKZFlJ,d92FGpiO9lP
Katokoli Outreach Clinic,,Katokoli Outreach Clinic,Du78VFcIJLM,nmptn9bUYXv
Katokoli Village Clinic,,Katokoli VC,XJSpyyHsQ5D,nmptn9bUYXv
Katola Outreach Clinic (Daeyang Luke),,Katola Outreach Clinic (Daeyang Luke),x9N4ku4Dec8,LKsJWFXsxOB
Katole I  Outreach Clinic (Malembo),,Katole I  Outreach Clinic (Malembo),LP2MoIE7N35,UKbySUaELNM
Katole II Outreach Clinic (Malembo),,Katole II Outreach Clinic (Malembo),QlyRdoIIuFc,UKbySUaELNM
Katoleza Outreach Clinic (Matandani),,Katoleza Outreach Clinic (Matandani),EH72f8uIisp,JKAFWLrwdji
Katoleza Village Clinic (Matandani),,Katoleza Village Clinic (Matandani),M3tyJOP6gOf,JKAFWLrwdji
Katondo Outreach Clinic,,Katondo Outreach Clinic,wGZK2OM7FFS,QcCfOxMgWJN
Katontha Outreach,,Katontha Outreach,HjB6yoHoPMD,HYqblaD619d
Katontha Village Clinic,,Katontha Village Clinic,XyCSGHwBPYe,HYqblaD619d
Katope Health Post,,Katope-HP,Tc1HXnsygyT,jn7xfbY43dS
Katope Outreach,,Katope Outreach,djdDK8kiqUa,glIscvEdIJz
Katope Outreach Clinic,,Katope Outreach Clinic,jkdSM7FD6LT,Rf1rrKDqc9l
Katope Village Clinic,,katope VC,AdcCwiE87ds,jn7xfbY43dS
Katope Village Clinic,,Katope Village Clinic,H6g42SyLICL,glIscvEdIJz
Katope Village Clinic (Mwansambo),,Katope Village Clinic (Mwansambo),zOjLtmSguyg,Rf1rrKDqc9l
Katoto Drop in Centre,,Katoto-DIC,wDecPmMTg6i,SPjDsm1TcXq
Katowa Outreach Clinic,,Katowa Outreach Clinic,roqG6BebHY9,ncumVqRrCMN
Katowa Village Clinic,,Katowa Village Clinic,OoRVMJUzv9R,ncumVqRrCMN
Katowo Rural Hospital,408,Katowo-RH,TgIZdG9r95r,M8moEd4dNYo
Katozi Outreach Clinic,,Katozi Outreach Clinic,zxt2H0PDS1K,dy2GeuSwyIq
Katozi Village Clinic,,Katozi Village Clinic,qdoP8kqjMjc,dy2GeuSwyIq
Katsala  II Village Clinic (Tsangano),,Katsala  II Village Clinic (Tsangano),u2xb1r866Ui,rLjop5TPyxt
Katsala II Outreach Clinic (Tsangano),,Katsala II Outreach Clinic (Tsangano),wNnMOPxP086,rLjop5TPyxt
Katsalabande Outreach,,Katsalabande Outreach,eANKu9A6zjp,JA9Ekal0Y2p
Katsekera Health Centre,1815,Katsekera-HC,Mby0tOuLfvm,ENQA7sOVrPw
Katsenga Outreach,,Katsenga Outreach,SlxYoEkl3KA,BogAIA30ZjT
Katsenga Village Clinic,,Katsenga Village Clinic,EXXK0nnw5xg,BogAIA30ZjT
Katsikidzi Outreach Clinic,,Katsikidzi Outreach Clinic,GXtoms56jo9,WEXi1SR3Ps6
Katsikidzi Village Clinic,,Katsikidzi Village Clinic,OrhUuB5qjKb,WEXi1SR3Ps6
Katsilizika Outreach Clinic,,Katsilizika Outreach Clinic,rt2Q1WTxCku,GJhhq8K1EBF
Katsilizika Village Clinic,,Katsilizika Village Clinic,WApaEfUYMfq,GJhhq8K1EBF
Katsuka Outreach,,Katsuka Outreach,ABqFkvKpTXu,JX6hyvnBrlF
Katsuka Village Clinic,,Katsuka Village Clinic,bIHXDJGdHNG,JX6hyvnBrlF
Katsumwa Outreach Clinic (Nsaru),,Katsumwa Outreach Clinic (Nsaru),OHX0xK8YKEh,lxulWQBn6fT
Katukula Outreach Clinic,,Katukula Outreach Clinic,l0jlTX6mDgO,F17kSj3t4iD
Katukula Village Clinic,,Katukula Village Clinic,royOr5bLGsp,F17kSj3t4iD
Katula Outreach Clinic,,Katula Outreach Clinic,FwBWfVBs4c4,jcv5nI6bzTq
Katula Village Clinic,,Katula VC,x0WL4fKolRL,nmptn9bUYXv
Katula Village Clinic (Ekwendeni),,Katula Village Clinic (Ekwendeni),dJlEwPLDwUA,jcv5nI6bzTq
Katuli Health Centre,2507,Katuli-HC,fA8higAcbmz,RBK39eC5LuY
Katuli Village Clinic (Thekerani),,Katuli Village Clinic (Thekerani),ClbOhvQyN1U,INxuyEdPFCm
Katumba Outreach Clinic,,Katumba Outreach Clinic,FRdtK8zxpKV,D4HrpFEtQRq
Katumbiri Outreach Clinic (Koche),,Katumbiri Outreach Clinic (Koche),paggXyeGSh0,O65d1uI6NGP
Katunda Outreach Clinic,,Katunda Outreach Clinic,gRNhWyPAMhy,bPKUlNCxhvT
Katunda Village Clinic,,Katunda Village Clinic,Gus63XQzPcT,BQ3aLnP32uB
Katundu Outreach,,Katundu Outreach,bS2gxXOvGKH,cZkBc7Ri1HF
Katundu Outreach Clinic,,Katundu Outreach Clinic,l0x8uWJUMpB,n18VsHigwU8
Katundu Outreach Clinic (Namanolo),,Katundu Outreach Clinic (Namanolo),adF6hjNz2NK,spgBSrohYPo
Katundu Village Clinic,,Katundu Village Clinic,fA6BZxD3jJn,cZkBc7Ri1HF
Katunga Outreach Clinic,,Katunga Outreach Clinic,okN4ICLg3TE,hS2sYnTQbU3
Katunga Village Clinic,,Katunga Village Clinic,TeR8Hh7NY2O,hS2sYnTQbU3
Katunguwiri Outreach Clinic,,Katunguwiri Outreach Clinic,H9eoSIedFTb,a7zgH8mf2GX
Katunguwiri Village Clinic,,Katunguwiri Village Clinic,tI0UpRW1Bdd,a7zgH8mf2GX
Katuntha Outreach,,Katuntha Outreach,Kh3Ap65ZCwa,glIscvEdIJz
Katuntha Village Clinic,,Katuntha Village Clinic,t1j3afs3u4U,glIscvEdIJz
Katunthama Outreach Clinic (Mndinda),,Katunthama Outreach Clinic (Mndinda),yDn7K2avXOE,uYi2L6Go4Qf
Katunthama Village Clinic (Mndinda),,Katunthama Village Clinic (Mndinda),MuUeNYwyKOU,uYi2L6Go4Qf
Katuta Outreach,,Katuta Outreach,wcQI7hbd7Qd,e1HOrMxNhpf
Katuta Village Clinic,,Katuta Village Clinic,orng7iDjmfR,e1HOrMxNhpf
Katutula Outreach,,Katutula Outreach,aoyWTw1kpzS,ZOUGIF58iaF
Katutula Outreach Clinic,,Katutula Outreach Clinic,bfKvZ3S4VV3,qzGX4XdWufs
Katutula Village Clinic,,Katutula Village Clinic,pRrEncR4xA7,ZOUGIF58iaF
Katutula Village Clinic (Chitipa DH),,Katutula Village Clinic (Chitipa DH),TXXHD6thp02,qzGX4XdWufs
Kaudzu Outreach,,Kaudzu Outreach,RccilML8FYY,jcUguNrYDmp
Kaudzu Village Clinic,,Kaudzu Village Clinic,nmPZMrEJQdS,jcUguNrYDmp
Kaufa Outreach,,Kaufa Outreach,WsGZLOKVpra,rpW9v5wCsE6
Kaufa Village Clinic,,Kaufa Village Clinic,SJYqbEROn6l,rpW9v5wCsE6
Kaufipa Outreach Clinic,,Kaufipa Outreach Clinic,Cyp3vkQzM1C,YABJoiuXQMB
Kaufipa Village Clinic,,Kaufipa Village Clinic,MoLM0XNNPx4,YABJoiuXQMB
Kauka Outreach Clinic,,Kauka Outreach Clinic,RZlF8wsf65W,QrpvZldV7rA
Kauka Village Clinic,,Kauka Village Clinic,gyhAdY3vaHi,QrpvZldV7rA
Kaulambwe Outreach Clinic,,Kaulambwe Outreach Clinic,TpRpl1sbU0m,Cr4BIZYc1Ks
Kaulambwe Outreach Clinic (Nkhamenya),,Kaulambwe Outreach Clinic (Nkhamenya),zwqqViNcc5d,QcCfOxMgWJN
Kaulambwe Village Clinic,,Kaulambwe Village Clinic,LBDRVfBQWgC,QcCfOxMgWJN
Kaulankhutu Outreach Clinic,,Kaulankhutu Outreach Clinic,H53BEWKYsen,H58PMzo9Xii
Kaulasisi Outreach Clinic,,Kaulasisi Outreach Clinic,grMCtg8WHZb,GVweqBeEYdR
Kaulasisi Outreach Clinic (Mnyanja),,Kaulasisi Outreach Clinic (Mnyanja),x6IaZ9mzI7U,mwyB6seePPU
Kaulatsitsi Outreach Clinic (Ntchisi DH),,Kaulatsitsi Outreach Clinic (Ntchisi DH),Cq87fXSfAp1,qXwx6gQyNBv
Kaulatsitsi Village Clinic (Ntchisi DH),,Kaulatsitsi Village Clinic (Ntchisi DH),MEM5vubvQj1,qXwx6gQyNBv
Kauli Outreach Clinic,,Kauli Outreach Clinic,F4dQRopnXcg,Fz0tDlXVsn3
Kaulila Outreach Clinic,,Kaulila Outreach Clinic,CRrBdwkJlpt,H58PMzo9Xii
Kaulila Village Clinic,,Kaulila Village Clinic,UOq76hHKbvo,H58PMzo9Xii
Kaulimbo Village Clinic,,Kaulimbo Village Clinic,kQetmTKPsCC,fELrRZgvyHN
Kaulira Outreach Clinic,,Kaulira Outreach Clinic,JsFf5jXx0iF,Mf6Xg1PJ7hC
Kaulira Village Clinic,,Kaulira Village Clinic,KmjgEy4i2jx,Mf6Xg1PJ7hC
Kaulusi Outreach Clinic,,Kaulusi Outreach Clinic,eXxfG9dTuaA,RdbkvuyiIKf
Kauma Outreach Clinic,,Kauma Outreach Clinic,LEk60XMfnXn,F17kSj3t4iD
Kauma Outreach Clinic (Area 18),,Kauma Outreach Clinic (Area 18),NpqTO1ls74G,h2ls2FUTYDc
Kauma Outreach Clinic (Chimoto),,Kauma Outreach Clinic (Chimoto),KasbM5SSYxs,VbO2d6WVW6Q
Kauma Village Clinic (Chimoto),,Kauma Village Clinic (Chimoto),PY3z2ikIxsT,VbO2d6WVW6Q
Kauma Village Clinic (Mkhota),,Kauma Village Clinic (Mkhota),VvYTbEn2q33,F17kSj3t4iD
Kaumphu Outreach Clinic,,Kaumphu Outreach Clinic,rlEdBt766WF,J3iNTezM5iw
Kaumphu Village Clinic,,Kaumphu Village Clinic,TmQfhXoRfKR,J3iNTezM5iw
Kaunda Outreach Clinic,,Kaunda Outreach Clinic,VIIcwNlS81N,xcRa7FraazI
Kaundi Outreach Clinic,,Kaundi Outreach Clinic,ah4zeFEzoW5,mqNSnMB7fgW
Kaundi Outreach Clinic (Endindeni),,Kaundi Outreach Clinic (Endindeni),gR8CchEpdRA,J3iNTezM5iw
Kaundi Village Clinic,,Kaundi Village Clinic,ZP6arwwLx7A,mqNSnMB7fgW
Kaundi Village Clinic (Endindeni),,Kaundi Village Clinic (Endindeni),FuL2lKCatLT,J3iNTezM5iw
Kaundu Health Centre,1729,Kaundu-HC,H0sBidyA6PK,MHcRPWjeguM
Kaunga Outreach Clinic,,Kaunga Outreach Clinic,E5g7gJwnKin,RdbkvuyiIKf
Kaunga Village Clinic,,Kaunga Village Clinic,SpyvndnKlSF,RdbkvuyiIKf
Kautamba Outreach Clinic,,Kautamba Outreach Clinic,nn0ePZQFbTb,DCafjM4Ew3G
Kauwa Outreach Clinic (Chiole),,Kauwa Outreach Clinic (Chiole),BXO4W0wCOoH,jnrlLIULfCR
Kauyemba Outreach Clinic,,Kauyemba Outreach Clinic,HEOAqLP3tMO,mwyB6seePPU
Kauyemba Village Clinic,,Kauyemba Village Clinic,Mbnfn8rapaA,mwyB6seePPU
Kavala Outreach Clinic (Phalula),,Kavala Outreach Clinic (Phalula),Vj3xlxwy6hk,Xp3wYJuLYue
Kavalo Outreach Clinic (Chikwawa DH),,Kavalo Outreach Clinic (Chikwawa DH),zf9ObDl3ShD,JQw6oDs7C6C
Kavalo Village Clinic (Chikwawa DH),,Kavalo Village Clinic (Chikwawa DH),gyQ8RIh2yIZ,JQw6oDs7C6C
Kavibale Outreach Clinic,,Kavibale Outreach Clinic,A9NYaYcRhDL,cQ41y2ym2RV
Kavidebwere Outreach Clinic,,Kavidebwere Outreach Clinic,ST3zXygdF44,BOEaJ4eqVC9
Kavidebwere Village Clinic,,Kavidebwere Village Clinic,nxx6MYg9Vj7,BOEaJ4eqVC9
Kavika Outreach Clinic,,Kavika Outreach Clinic,HPloxFPhXL5,z9yDHU0ZYQd
Kavikula Outreach Clinic,,Kavikula Outreach Clinic,iXL4PIVTDHC,QcCfOxMgWJN
Kavikula Village Clinic,,Kavikula Village Clinic,H96zPnEMHe4,QcCfOxMgWJN
Kavikula Village Clinic (Nkhamenya),,Kavikula Village Clinic (Nkhamenya),wvmFTJX9W5p,QcCfOxMgWJN
Kavilintchere Outreach Clinic,,Kavilintchere Outreach Clinic,v2sy65cMG6k,QcCfOxMgWJN
Kavipepu Outreach Clinic,,Kavipepu Outreach Clinic,KJ8ev0Wap0H,p4eKC1ZsXQ4
Kavipepu Village Clinic,,Kavipepu Village Clinic,jUU9TLZtgsX,p4eKC1ZsXQ4
Kavipini Outreach Clinic,,Kavipini Outreach Clinic,Ze7ingGYp7y,xcRa7FraazI
Kavipini Village Clinic,,Kavipini Village Clinic,ELf6gO6DmIp,xcRa7FraazI
Kavisopo Outreach Clinic,,Kavisopo Outreach Clinic,sTaA03Rxzb3,L0obMixrYsw
Kavitengo Outreach Clinic,,Kavitengo Outreach Clinic,goc8ZfWXvNM,ssMcu8y2Kf3
Kavithiwa Village Clinic (Mayaka),,Kavithiwa Village Clinic (Mayaka),nxHLrB0famN,JQgSk2DFvqZ
Kavitukutuku Outreach Clinic,,Kavitukutuku Outreach Clinic,HEv0q5uXjon,nDmSqHjGoHc
Kavitukutuku Village Clinic,,Kavitukutuku Village Clinic,OGNMioCG5iG,nDmSqHjGoHc
Kaviwale Outreach Clinic,,Kaviwale Outreach Clinic,LFGS96qDLPh,upbCscjsSDs
Kaviwale Village Clinic,,Kaviwale Village Clinic,c1GeU8UyGY5,upbCscjsSDs
Kaviyombo Outreach Clinic,,Kaviyombo Outreach Clinic,VEi8WRTxNTf,L0obMixrYsw
Kaviyombo Outreach Clinic (Mpepa),,Kaviyombo Outreach Clinic (Mpepa),Csee1MfoW8e,GJhhq8K1EBF
Kaviyombo Village Clinic,,Kaviyombo Village Clinic,jO9clRoNyO3,GJhhq8K1EBF
Kavomolo Outreach Clinic,,Kavomolo Outreach Clinic,x5iFzy52JXw,M7TlHaVIPLz
Kavomolo Village Clinic,,Kavomolo Village Clinic,scSMw16bqvo,M7TlHaVIPLz
Kavukuku Outreach Clinic,,Kavukuku Outreach Clinic,CpzmrCmnDaJ,I6ZujG9AVcl
Kavula Outreach Clinic,,Kavula Outreach Clinic,mz13XNsI6cH,nmptn9bUYXv
Kavula Village Clinic,,Kavula VC,wB1Mb36hZVz,nmptn9bUYXv
Kavululanga Outreach Clinic,,Kavululanga Outreach Clinic,RQY3skzpHN7,tca66OfpOph
Kavuta Outreach,,Kavuta Outreach,KAc9U1yJeMP,ekYnKIXnPPj
Kavuta Village Clinic,,Kavuta Village Clinic,LGGZWTBhho0,eNs19G9xMyc
Kavuta Village Clinic (Kapiri),,Kavuta Village Clinic (Kapiri),Y7BzrMi4HjR,ekYnKIXnPPj
Kavuwe Outreach,,Kavuwe Outreach,HRIMy2YdyeY,F4aQvPL4c5a
Kavuwe Village Clinic,,Kavuwe Village Clinic,IUO4Zuz5cE1,F4aQvPL4c5a
Kavuzi Cumnock,,Kavuzi Cumnock,vCIQ1SbW5X4,P1HnUkQDPw0
Kavuzi Health Centre,323,Kavuzi HC,g7LNUVG1pQA,P1HnUkQDPw0
Kavuzi Road Block Village Clinic,,Kavuzi Road Block Village Clinic,iZcNAh3gvRI,QX85XzKEJjg
Kavwandama Outreach Clinic,,Kavwandama Outreach Clinic,IvLFSIre7aM,a7zgH8mf2GX
Kavwandama Village Clinic,,Kavwandama Village Clinic,t4RQAH97x9J,a7zgH8mf2GX
Kawa I Outreach (Namanja),,Kawa I Outreach (Namanja),f7tnQyf83Dr,XG7w56VzqMn
Kawa Outreach Clinic (Kanyimbi),,Kawa Outreach Clinic (Kanyimbi),LeYWlsnm5LB,AbJbZQt4UJs
Kawa Village Clinic (Kanyimbi),,Kawa Village Clinic (Kanyimbi),goiwCXZZM67,AbJbZQt4UJs
Kawalazi Outreach Clinic,,Kawalazi Outreach Clinic,RaJBc15fwsk,DCafjM4Ew3G
Kawalazi Plantation Clinic,330,Kawalazi Plantation Clinic,UT6ad8gmKjC,P1HnUkQDPw0
Kawale Banja La Mtsogolo Dispensary,1580,Kawale-Banja-La-Mtsogolo-DISP,SnfOrypiyQj,MDkBXGJ5CyR
Kawale Medical Services,4018,Kawale Medical Services,q4n2TvCdd9O,MDkBXGJ5CyR
Kawale Outreach,,Kawale Outreach,xh2R51UzwaA,HYqblaD619d
Kawale Outreach Clinic (Chiwamba),,Kawale Outreach Clinic (Chiwamba),ivdG3BQMCEb,RDvTBoMA8m4
Kawale Urban Health Centre,1517,Kawale-Urban-HC,d1WQftQ87x3,MDkBXGJ5CyR
Kawale Village Clinic,,Kawale VC,frshf65D3jI,tyuN9XbfRHQ
Kawale Village Clinic (Kayembe),,Kawale Village Clinic (Kayembe),NTom17ekhsM,HYqblaD619d
Kawalika Outreach Clinic (Malembo),,Kawalika Outreach Clinic (Malembo),kcYslCMWpUb,tOaGG2xPLDm
Kawalika Village Clinic (Malembo),,Kawalika Village Clinic (Malembo),jwny3cLc9ZR,tOaGG2xPLDm
Kawamba Health Centre,1009,Kawamba-HC,flfOvLzldtj,QWwg51OvU0a
Kawamba Outreach Clinic,,Kawamba Outreach Clinic,xt1dbPIPGIf,p4eKC1ZsXQ4
Kawambamakoza Outreach Clinic,,Kawambamakoza Outreach Clinic,TBIfbKxJ1Yl,flfOvLzldtj
Kawambamakoza Village Clinic,,Kawambamakoza Village Clinic,vuFYnh1XBXC,flfOvLzldtj
Kawanda Outreach Clinic,,Kawanda Outreach Clinic,LF8iC9pvQWU,nmptn9bUYXv
Kawanda Village Clinic,,Kawanda Village Clinic,dVLTYvKo6x7,nmptn9bUYXv
Kawande Outreach Clinic,,Kawande Outreach Clinic,BGSzxVG2G9o,cez54P9k6OJ
Kawande Village Clinic,,Kawande Village Clinic,ig7IwwghGn2,cez54P9k6OJ
Kawanga Outreach Clinic (Kabudula),,Kawanga Outreach Clinic (Kabudula),ufdvZiqR9dJ,O6y74hiWU9z
Kawanga Outreach Clinic (Lugola),,Kawanga Outreach Clinic (Lugola),Y3mDSExp7U6,AcMkv28WWEO
Kawanga Village Clinic,,Kawanga VC,n3wGJ6k9Bj8,AcMkv28WWEO
Kawangira  Village Clinic,,Kawangira  Village Clinic,nVW4TFCQsYp,H37Fo6H2Roi
Kawata Outreach Clinic,,Kawata Outreach Clinic,bc3tHG3Dcmm,F17kSj3t4iD
Kawata Village Clinic,,Kawata Village Clinic,FtXzU1fD2hB,F17kSj3t4iD
Kawaza Outreach Clinic,,Kawaza Outreach Clinic,WyAGpaCjcp7,CyLPblDfB5N
Kawaza Outreach Clinic (Bolero),,Kawaza Outreach Clinic (Bolero),ZksHKmgsPjK,Oc3g2Wv2s5M
Kawaza Outreach Clinic (Mitundu),,Kawaza Outreach Clinic (Mitundu),xU5Yedtu8Pd,aVmCsQGN0r1
Kawaza Village Clinic,,Kawaza Village Clinic,qXnfTrgLKDh,CyLPblDfB5N
Kawaza Village Clinic (Bolero),,Kawaza Village Clinic (Bolero),MtomCXKDuph,Oc3g2Wv2s5M
Kawaza Village Clinic (Mitundu),,Kawaza Village Clinic (Mitundu),gC1LLUZlYyW,aVmCsQGN0r1
Kaweche Health Centre,6014,Kaweche Health Centre,BRvHol84T4Q,ZMhvihfvanx
Kaweche Village Clinic (Kaphuka),,Kaweche Village Clinic (Kaphuka),gholus1rSDH,wGMlG6WZZ4q
Kawelama Outreach Clinic,,Kawelama Outreach Clinic,zrW1FUGYFyN,eLLoifuK7RA
Kawelama Village Clinic,,Kawelama V Clinic,PNYfT2uplVs,Ybh0Ww4WWVx
Kawelama Village Clinic (Nkhotakota DH),,Kawelama Village Clinic (Nkhotakota DH),bJgDKtXjCS1,eLLoifuK7RA
Kawele Outreach,,Kawele Outreach,teAesSAtw8x,fELrRZgvyHN
Kawele Village Clinic,,Kawele Village Clinic,DtTBxZTHVwI,fELrRZgvyHN
Kawelenga Village Clinic,,Kawelenga Village Clinic,yhGAD5oF8Z5,eLLoifuK7RA
Kawelezi Outreach Clinic,,Kawelezi Outreach Clinic,fHTycu5qApp,rWDOWogc1O7
Kawelezi Village Clinic,,Kawelezi Village Clinic,n7lQLTUnWhE,rWDOWogc1O7
Kawembe Outreach Clinic,,Kawembe Outreach Clinic,AekSP5ysnrv,QrpvZldV7rA
Kawenda  Outreach Clinic (Mkhuzi),,Kawenda  Outreach Clinic (Mkhuzi),ro71X4tPIi7,K4fSBUiEBEX
Kawenda Village Clinic (Mkhuzi),,Kawenda Village Clinic (Mkhuzi),jtvsPHffjAK,K4fSBUiEBEX
Kawerama Outreach (Ntaja),,Kawerama Outreach (Ntaja),WGw8rDWFzze,Ybh0Ww4WWVx
Kawere Outreach,,Kawere Outreach,k8dxXdJ0XNL,ueVjB10KIyz
Kawere Village Clinic,,Kawere Village Clinic,quu5Uv2ijjp,ueVjB10KIyz
Kaweruweru Outreach Clinic,,Kaweruweru Outreach Clinic,R9thZtf63hK,GFQSwXAzql8
Kaweruweru Village Clinic,,Kaweruweru Village Clinic,Er0F1ldygBS,GFQSwXAzql8
Kaweta Outreach Clinic,,Kaweta Outreach Clinic,QPIdAW6LqSY,xcRa7FraazI
Kaweta Village Clinic,,Kaweta Village Clinic,TfaLjQ7CkGJ,xcRa7FraazI
Kaweya Outreach Clinic (Kalimanjira),,Kaweya Outreach Clinic (Kalimanjira),agt4MM7REfK,K26cW6KAhFP
Kaweya Village Clinic (Kalimanjira),,Kaweya Village Clinic (Kalimanjira),dlgbbWrRsmJ,K26cW6KAhFP
Kawinama Outreach Clinic,,Kawinama Outreach Clinic,IM9ihqACw7t,BOEaJ4eqVC9
