Org Unit,Org Unit Code,OU Short Name,Org Unit Id,Parent Id
Dunduzu I Village Clinic,,Dunduzu I Village Clinic,qtEECIaqgWs,jcv5nI6bzTq
Dunduzu II Outreach Clinic,,Dunduzu II Outreach Clinic,BL8BJVOamHK,jcv5nI6bzTq
Dunduzu II Village Clinic,,Dunduzu II Village Clinic,ML3E8Xpy0hM,jcv5nI6bzTq
Dunduzu Village Clinic,,Dunduzu VC,jnH5vLSVoFV,cQ41y2ym2RV
Dundwe Outreach Clinic,,Dundwe Outreach Clinic,vKpEe3mWnJL,cHhZC34cSCl
Dundwe Village Clinic,,Dundwe Village Clinic,wVKJz4YrsZw,cHhZC34cSCl
Dungulira Health Post,,Dungulira-HP,K6uUJydUZBO,p9HxhQYtEuW
Dungulira Outreach Clinic,,Dungulira Outreach Clinic,NQU2yCpYNjN,p9HxhQYtEuW
Dungulira Village Clinic,,Dungulira VC,sPlC2NMSgIw,p9HxhQYtEuW
Dwambazi Rural Hospital,1104,Dwambazi-RH,GFQSwXAzql8,HxjTgTNq2YD
Dwangwa Banja La Mtsogolo Outreach Clinic,,Dwangwa Banja La Mtsogolo Outreach Clinic,xVLGpdaSM9w,RQX6rnfUsBD
Dwangwa Cane Growers Limited Dispensary,1120,Dwangwa-CGL,w6VRxc89b5K,HxjTgTNq2YD
Dwangwa Health Centre,1004,Dwangwa-HC,n89uKexauZq,QWwg51OvU0a
Dwanya Outreach Clinic (Makhwira),,Dwanya Outreach Clinic (Makhwira),pxFjxwap0Hh,fmm167XcK2T
Dyanyama  Outreach (Mulomba),,Dyanyama  Outreach (Mulomba),FueMAwIu1AU,ijqBzVGbncx
Dyanyama Outreach Clinic (Mauwa),,Dyanyama Outreach Clinic (Mauwa),XmQsDKSSig3,F6BWHBSv59O
Dyanyama Village Clinic,,Dyanyama VC,g3zhIRgC0vC,ijqBzVGbncx
Dyeratu Outreach Clinic (Chikwawa DH),,Dyeratu Outreach Clinic (Chikwawa DH),BzFzv392mYV,JQw6oDs7C6C
Dzalanyama Dispensary,1543,Dzalanyama-DISP,pveDNK0q3s7,MDkBXGJ5CyR
Dzaleka Refugee Camp Health Centre,1308,Dzaleka Refugee Camp Health Centre,b1RogeavIPD,S4Lr8zJqfHx
Dzalo Outreach,,Dzalo Outreach,dU2pk8jKiyn,glIscvEdIJz
Dzalo Village Clinic,,Dzalo Village Clinic,AGK5eCdaSgf,glIscvEdIJz
Dzama Outreach Clinic (Lemwe),,Dzama Outreach Clinic (Lemwe),umMKU5fGe5E,HRNjqusGvXx
Dzama Village Clinic (Lemwe),,Dzama Village Clinic (Lemwe),C1ZsPlNaiBd,HRNjqusGvXx
Dzama Village Clinic (Lumbadzi),,Dzama Village Clinic (Lumbadzi),F78KI92mTqH,UrNi47KXEKp
Dzamalala Outreach Clinic (Chadza),,Dzamalala Outreach Clinic (Chadza),n5cwNfE1bwf,cnyjtiMcC1D
Dzamalala Village Clinic (Chadza),,Dzamalala Village Clinic (Chadza),qY7rHDNvY9f,cnyjtiMcC1D
Dzaole Outreach Clinic (Ntcheu DH),,Dzaole Outreach Clinic (Ntcheu DH),AljcHjFzcjc,irf8hxUohn5
Dzaone Outreach (Magomero),,Dzaone Outreach (Magomero),ooNSTtxU4Wc,MfSWVpArbHS
Dzaone Village Clinic (Magomero),,Dzaone Village Clinic (Magomero),Lfpf95IgEa3,MfSWVpArbHS
Dzenje Health Centre,3205,Dzenje-Health Centre,nMp06ehwoOX,rUBJcTYUnAE
Dzenje Outreach (Nkhwayi),,Dzenje Outreach (Nkhwayi),cvTrQP3Jec4,tRNfX43j5Mv
Dzenje Outreach Clinic (Mkumaniza),,Dzenje Outreach Clinic (Mkumaniza),lM1eq3mA22O,bwhjLosc8k8
Dzenje Outreach Clinic (Thomas),,Dzenje Outreach Clinic (Thomas),R5vC0v5h9e5,TKKQUXqRrrr
Dzenje Village Clinic (Mkumaniza),,Dzenje Village Clinic (Mkumaniza),d1SvUem9I4t,bwhjLosc8k8
Dzenje Village Clinic (Nkhwayi),,Dzenje Village Clinic (Nkhwayi),losB8cYBn0t,tRNfX43j5Mv
Dzenza Health Centre,1513,Dzenza-HC,hpUbeZgjQkx,MDkBXGJ5CyR
Dzidzwa Outreach,,Dzidzwa Outreach,Ky7gaMzTa1O,oT0jXXNSmag
Dzidzwa Village Clinic,,Dzidzwa Village Clinic,kl5Bs24pdJC,oT0jXXNSmag
Dzikolatha Village Clinic (Chifunga),,Dzikolatha Village Clinic (Chifunga),QHBFLnuqRhx,pciHYsH4glX
Dzilima Village Clinic (Mwanza DH),,Dzilima Village Clinic (Mwanza DH),CquaWqfOpSa,ojR8a0Xu9A3
Dzilinyani Outreach,,Dzilinyani Outreach,VZ6rC25Gq4x,aockNsOfjIt
Dzilinyani Village Clinic,,Dzilinyani Village Clinic,VDHDFQg8kvl,aockNsOfjIt
Dzimbiri Dispensary,,Dzimbiri Dispensary,phlM33pe5Bz,gd6cNp4HjsE
Dzimbiri Outreach Clinic (Didi),,Dzimbiri Outreach Clinic (Didi),g0widLZWgUT,AkP3EOq0hGk
Dzimphonje Outreach Clinic (Chapananga),,Dzimphonje Outreach Clinic (Chapananga),J3bL0GyMJgs,T3V75V8sfxa
Dzimphonje Village Clinic (Chapananga),,Dzimphonje Village Clinic (Chapananga),g43upd326oG,T3V75V8sfxa
Dzindevu Health Centre,1708,Dzindevu-HC,QL1C4nvZVLn,MHcRPWjeguM
Dzing'anda Outreach Clinic (Katsekela),,Dzing'anda Outreach Clinic (Katsekela),yF9yRWTbY10,Mby0tOuLfvm
Dzing'anda Village Clinic (Katsekela),,Dzing'anda Village Clinic (Katsekela),xm9ICorIo21,Mby0tOuLfvm
Dzinjiliza Outreach Clinic (Tsangano),,Dzinjiliza Outreach Clinic (Tsangano),Zj4q8X6jW42,rLjop5TPyxt
Dzinjiliza Village Clinic (Tsangano),,Dzinjiliza Village Clinic (Tsangano),LyXvmHl5lba,rLjop5TPyxt
Dziwazina Outreach Clinic (Kasinthula),,Dziwazina Outreach Clinic (Kasinthula),Mp46GXHJYSF,QBRXRxcbT0a
Dziwe Health Centre,2907,Dziwe-HC,hnbxxugq3Ds,FEGZA6BEAjj
Dziwe Health Centre,3627,Dziwe Health Centre,axZoBBHwZo2,qubeTudDNSC
Dzobwe Outreach Clinic (Chikwawa DH),,Dzobwe Outreach Clinic (Chikwawa DH),LT7hgvNqgI4,JQw6oDs7C6C
Dzonzi-Mvai Health Centre,1807,Dzonzi-Mvai-HC,fH7hgQtTEvy,ENQA7sOVrPw
Dzoole Health Centre,1309,Dzoole-HC,lykzV97DJgq,S4Lr8zJqfHx
Dzoole Outreach Clinic (Chigodi),,Dzoole Outreach Clinic (Chigodi),gWcjJrcxs6s,ShsLuR0OWt2
Dzunje Dispensary,1839,Dzunje-DISP,mxlb6XxX6cp,ENQA7sOVrPw
Dzuwa Outreach,,Dzuwa Outreach,WMbdvANpAAA,fELrRZgvyHN
Dzuwa Outreach Clinic (Malembo),,Dzuwa Outreach Clinic (Malembo),DMrawMVGGua,tOaGG2xPLDm
Dzuwa Village Clinic (Malembo),,Dzuwa Village Clinic (Malembo),gtVnrrW2qZj,tOaGG2xPLDm
Dzwakunja Village Clinic (Nyamithuthu),,Dzwakunja Village Clinic (Nyamithuthu),TgdWwemIia7,zCPRlak2MqT
Echikhangeni Outreach Clinic,,Echikhangeni Outreach Clinic,AY4vuMPevbk,upbCscjsSDs
Econgolweni Outreach Clinic,,Econgolweni Outreach Clinic,IwUpMbNkaHZ,BRvHol84T4Q
Edingeni Rural Hospital,503,Edingeni-RH,gWTmNAQxkV8,PoWQdy5S9Xi
Edundu Outreach Clinic,,Edundu Outreach Clinic,r03x5PSwMqa,JeL4xvlOwsv
Edundu Village Clinic,,Edundu VC,VXmUUanSdaT,JeL4xvlOwsv
Ehawi Outreach (Nasawa),,Ehawi Outreach (Nasawa),Fq8ty3sbXHf,RicJ2qmCw3g
Ehehleni Dispensary,549,Ehehleni-DISP,RdbkvuyiIKf,PoWQdy5S9Xi
Ehlekweni Outreach Clinic,,Ehlekweni Outreach Clinic,vLxq03FOkw4,HFKrnnX40ZR
Ehlekweni Village Clinic,,Ehlekweni Village Clinic,DaWhKvJYGiU,HFKrnnX40ZR
Ehlonipeni Health Post,,Ehlonipeni-HP,Xe8QGuWgBB4,JeL4xvlOwsv
Ehlonipeni Outreach Clinic,,Ehlonipeni Outreach Clinic,b8qWI69AhoH,JeL4xvlOwsv
Ehlonipeni Village Clinic,,Ehlonipeni VC,fRvfk1r1T38,JeL4xvlOwsv
Ejezeni Outreach Clinic,,Ejezeni Outreach Clinic,ICPCvrepQp9,a7zgH8mf2GX
Ejingweni Outreach Clinic,,Ejingweni Outreach Clinic,EEpGNUyPVCk,BvmZAEbFgHw
Ejingweni Village Clinic,,Ejingweni VC,qN8Y1kIvooP,BvmZAEbFgHw
Ekhama Outreach (Nayuchi),,Ekhama Outreach (Nayuchi),PNbK8u318Zx,fwctySB9ovz
Ekhama Village Clinic,,Ekhama V Clinic,xsUULPJUIKP,KEPMWjMdxDG
Ekwaiweni Health Centre,553,Ekwaiweni Health Centre,AlGl0pjBwFS,ZMhvihfvanx
Ekwaiweni Outreach Clinic,,Ekwaiweni Outreach Clinic,aalhzabTW8L,AlGl0pjBwFS
Ekwendeni Drop in Centre,,Ekwendeni-DIC,Se78jTvCgV7,SPjDsm1TcXq
Ekwendeni Mission Hospital,504,Ekwendeni-Hosp,jcv5nI6bzTq,ZMhvihfvanx
Elaine Zakresh Outreach Clinic,,Elaine Zakresh Outreach Clinic,LjPSe2EjVpD,U0YwDhBOZeY
Elamuleni Health Post,,Elamuleni-HP,znLlzq0FAw0,cQ41y2ym2RV
Elamuleni Outreach Clinic,,Elamuleni Outreach Clinic,wszckwKR7gD,cQ41y2ym2RV
Elamuleni Village Clinic,,Elamuleni VC,pCNtvAJGG6B,cQ41y2ym2RV
Elangeni Outreach Clinic,,Elangeni Outreach Clinic,bukuTV72Zf2,JeL4xvlOwsv
Elangeni Village Clinic,,Elangeni Village Clinic,oT7Cex7mZP2,JeL4xvlOwsv
El-barakah Private Clinic,,El-barakah Private Clinic,NFzZGVmGCoN,FEGZA6BEAjj
Eliachimtengo Outreach Clinic (Mtendere),,Eliachimtengo Outreach Clinic (Mtendere),WCJM3k4P4nS,r0KnLCBcTr3
Elisa Outreach,,Elisa Outreach,tMzLKgMmVaP,SL1ePpPFaki
Elisa Village Clinic,,Elisa Village Clinic,Tb4MbGfsW6K,SL1ePpPFaki
Elunyeni Health Post,,Elunyeni-HP,vN1wNNGMNuU,XazLGbIHFsc
Elunyeni Outreach Clinic,,Elunyeni Outreach Clinic,qoLGBsYnl5Y,XazLGbIHFsc
Elunyeni Village Clinic,,Elunyeni VC,GAehqZMC7Kv,XazLGbIHFsc
Emangeni Outreach Clinic,,Emangeni Outreach Clinic,EgqV3VV8NYD,sZJvRZgWusR
Emangeni Village Clinic,,Emangeni  VC,CJMwlxXLQRC,sZJvRZgWusR
Emanyaleni Outreach Clinic,,Emanyaleni Outreach Clinic,vLkQdvYShr7,Tt5yMX4YCYJ
Emanyaleni Village Clinic,,Emanyaleni VC,U5mHbJksAcS,Tt5yMX4YCYJ
Emazinyezi Outreach Clinic,,Emazinyezi Outreach Clinic,Dgu7EofwpVb,jcv5nI6bzTq
Emazwini Outreach Clinic,,Emazwini Outreach Clinic,lnm8ShUZKjs,inDCxEh9onL
Emazwini Village Clinic,,Emazwini Village Clinic,Qw3a4BkCKln,inDCxEh9onL
Embangweni Hospital,505,Embangweni-Hosp,ySElKKfe6yc,PoWQdy5S9Xi
Embombeni Outreach Clinic,,Embombeni Outreach Clinic,mVKvJ6CW20P,jcv5nI6bzTq
Embombeni Village Clinic,,Embombeni VC,JwMTr6qbVTm,nmptn9bUYXv
Embombeni Village Clinic (Ekwendeni),,Embombeni Village Clinic (Ekwendeni),rdYVsgbo7NP,jcv5nI6bzTq
Emfeni Health Centre,506,Emfeni-HC,ihG7TCzUsYI,PoWQdy5S9Xi
Emkwaleni Outreach Clinic,,Emkwaleni Outreach Clinic,jwppMgplbP2,AlGl0pjBwFS
